Facility (Host_description), Count
c405-102.stampede2.tacc.utexas.edu,1
c405-103.stampede2.tacc.utexas.edu,2
c405-104.stampede2.tacc.utexas.edu,1
c405-113.stampede2.tacc.utexas.edu,3
c405-114.stampede2.tacc.utexas.edu,2
c405-121.stampede2.tacc.utexas.edu,2
c405-124.stampede2.tacc.utexas.edu,2
c405-132.stampede2.tacc.utexas.edu,1
c405-134.stampede2.tacc.utexas.edu,2
c406-001.stampede2.tacc.utexas.edu,2
c406-002.stampede2.tacc.utexas.edu,4
c406-003.stampede2.tacc.utexas.edu,2
c406-004.stampede2.tacc.utexas.edu,2
c406-011.stampede2.tacc.utexas.edu,1
c406-012.stampede2.tacc.utexas.edu,3
c406-014.stampede2.tacc.utexas.edu,2
c406-022.stampede2.tacc.utexas.edu,1
c406-023.stampede2.tacc.utexas.edu,1
c406-031.stampede2.tacc.utexas.edu,1
c406-033.stampede2.tacc.utexas.edu,1
c406-041.stampede2.tacc.utexas.edu,3
c406-043.stampede2.tacc.utexas.edu,1
c406-044.stampede2.tacc.utexas.edu,1
c406-051.stampede2.tacc.utexas.edu,2
c406-052.stampede2.tacc.utexas.edu,1
c406-061.stampede2.tacc.utexas.edu,1
c406-071.stampede2.tacc.utexas.edu,1
c406-074.stampede2.tacc.utexas.edu,2
c406-082.stampede2.tacc.utexas.edu,1
c406-083.stampede2.tacc.utexas.edu,1
c406-084.stampede2.tacc.utexas.edu,2
c406-091.stampede2.tacc.utexas.edu,2
c406-092.stampede2.tacc.utexas.edu,1
c406-093.stampede2.tacc.utexas.edu,2
c406-101.stampede2.tacc.utexas.edu,2
c406-102.stampede2.tacc.utexas.edu,2
c406-104.stampede2.tacc.utexas.edu,1
c406-111.stampede2.tacc.utexas.edu,1
c406-112.stampede2.tacc.utexas.edu,2
c406-113.stampede2.tacc.utexas.edu,2
c406-123.stampede2.tacc.utexas.edu,1
c406-124.stampede2.tacc.utexas.edu,1
c406-133.stampede2.tacc.utexas.edu,1
c407-013.stampede2.tacc.utexas.edu,1
c407-021.stampede2.tacc.utexas.edu,1
c407-023.stampede2.tacc.utexas.edu,2
c407-034.stampede2.tacc.utexas.edu,1
c407-041.stampede2.tacc.utexas.edu,1
c407-042.stampede2.tacc.utexas.edu,2
c407-054.stampede2.tacc.utexas.edu,1
c407-061.stampede2.tacc.utexas.edu,2
c407-062.stampede2.tacc.utexas.edu,1
c407-071.stampede2.tacc.utexas.edu,1
c407-073.stampede2.tacc.utexas.edu,1
c407-082.stampede2.tacc.utexas.edu,2
c407-083.stampede2.tacc.utexas.edu,2
c407-084.stampede2.tacc.utexas.edu,2
c407-094.stampede2.tacc.utexas.edu,1
c407-101.stampede2.tacc.utexas.edu,3
c407-103.stampede2.tacc.utexas.edu,2
c407-114.stampede2.tacc.utexas.edu,2
c407-121.stampede2.tacc.utexas.edu,1
c407-123.stampede2.tacc.utexas.edu,2
c407-131.stampede2.tacc.utexas.edu,1
c407-132.stampede2.tacc.utexas.edu,1
c407-133.stampede2.tacc.utexas.edu,1
c407-134.stampede2.tacc.utexas.edu,1
c408-002.stampede2.tacc.utexas.edu,1
c408-003.stampede2.tacc.utexas.edu,2
c408-004.stampede2.tacc.utexas.edu,3
c408-011.stampede2.tacc.utexas.edu,2
c408-013.stampede2.tacc.utexas.edu,1
c408-024.stampede2.tacc.utexas.edu,2
c408-034.stampede2.tacc.utexas.edu,1
c408-041.stampede2.tacc.utexas.edu,1
c408-042.stampede2.tacc.utexas.edu,4
c408-043.stampede2.tacc.utexas.edu,1
c408-044.stampede2.tacc.utexas.edu,2
c408-051.stampede2.tacc.utexas.edu,1
c408-053.stampede2.tacc.utexas.edu,1
c408-061.stampede2.tacc.utexas.edu,3
c408-062.stampede2.tacc.utexas.edu,2
c408-063.stampede2.tacc.utexas.edu,3
c408-064.stampede2.tacc.utexas.edu,2
c408-072.stampede2.tacc.utexas.edu,1
c408-082.stampede2.tacc.utexas.edu,2
c408-083.stampede2.tacc.utexas.edu,2
c408-091.stampede2.tacc.utexas.edu,2
c408-093.stampede2.tacc.utexas.edu,1
c408-094.stampede2.tacc.utexas.edu,2
c408-101.stampede2.tacc.utexas.edu,1
c408-104.stampede2.tacc.utexas.edu,1
c408-112.stampede2.tacc.utexas.edu,1
c408-113.stampede2.tacc.utexas.edu,2
c408-122.stampede2.tacc.utexas.edu,2
c408-123.stampede2.tacc.utexas.edu,2
c408-124.stampede2.tacc.utexas.edu,1
c408-131.stampede2.tacc.utexas.edu,1
c408-132.stampede2.tacc.utexas.edu,2
c409-001.stampede2.tacc.utexas.edu,1
c409-003.stampede2.tacc.utexas.edu,1
c409-011.stampede2.tacc.utexas.edu,2
c409-013.stampede2.tacc.utexas.edu,2
c409-014.stampede2.tacc.utexas.edu,4
c409-021.stampede2.tacc.utexas.edu,1
c409-024.stampede2.tacc.utexas.edu,2
c409-031.stampede2.tacc.utexas.edu,1
c409-032.stampede2.tacc.utexas.edu,1
c409-034.stampede2.tacc.utexas.edu,1
c409-051.stampede2.tacc.utexas.edu,2
c409-052.stampede2.tacc.utexas.edu,1
c409-054.stampede2.tacc.utexas.edu,1
c409-072.stampede2.tacc.utexas.edu,1
c409-091.stampede2.tacc.utexas.edu,1
c409-092.stampede2.tacc.utexas.edu,1
c409-094.stampede2.tacc.utexas.edu,2
c409-101.stampede2.tacc.utexas.edu,1
c409-104.stampede2.tacc.utexas.edu,1
c409-111.stampede2.tacc.utexas.edu,2
c409-113.stampede2.tacc.utexas.edu,2
c409-122.stampede2.tacc.utexas.edu,2
c410-001.stampede2.tacc.utexas.edu,1
c410-002.stampede2.tacc.utexas.edu,1
c410-003.stampede2.tacc.utexas.edu,2
c410-004.stampede2.tacc.utexas.edu,1
c410-013.stampede2.tacc.utexas.edu,1
c410-032.stampede2.tacc.utexas.edu,2
c410-034.stampede2.tacc.utexas.edu,1
c410-042.stampede2.tacc.utexas.edu,1
c410-043.stampede2.tacc.utexas.edu,1
c410-053.stampede2.tacc.utexas.edu,1
c410-061.stampede2.tacc.utexas.edu,1
c410-072.stampede2.tacc.utexas.edu,1
c410-083.stampede2.tacc.utexas.edu,1
c410-084.stampede2.tacc.utexas.edu,1
c410-091.stampede2.tacc.utexas.edu,1
c410-092.stampede2.tacc.utexas.edu,2
c410-104.stampede2.tacc.utexas.edu,1
c410-112.stampede2.tacc.utexas.edu,2
c410-113.stampede2.tacc.utexas.edu,2
c410-114.stampede2.tacc.utexas.edu,1
c410-124.stampede2.tacc.utexas.edu,1
c410-132.stampede2.tacc.utexas.edu,1
c410-134.stampede2.tacc.utexas.edu,1
c411-001.stampede2.tacc.utexas.edu,1
c411-011.stampede2.tacc.utexas.edu,1
c411-013.stampede2.tacc.utexas.edu,1
c411-021.stampede2.tacc.utexas.edu,1
c411-022.stampede2.tacc.utexas.edu,2
c411-032.stampede2.tacc.utexas.edu,1
c411-041.stampede2.tacc.utexas.edu,1
c411-051.stampede2.tacc.utexas.edu,1
c411-053.stampede2.tacc.utexas.edu,1
c411-054.stampede2.tacc.utexas.edu,1
c411-061.stampede2.tacc.utexas.edu,2
c411-062.stampede2.tacc.utexas.edu,1
c411-064.stampede2.tacc.utexas.edu,1
c411-072.stampede2.tacc.utexas.edu,1
c411-073.stampede2.tacc.utexas.edu,1
c411-091.stampede2.tacc.utexas.edu,1
c411-102.stampede2.tacc.utexas.edu,1
c411-113.stampede2.tacc.utexas.edu,1
c411-124.stampede2.tacc.utexas.edu,1
c411-134.stampede2.tacc.utexas.edu,1
c412-002.stampede2.tacc.utexas.edu,1
c412-003.stampede2.tacc.utexas.edu,1
c412-012.stampede2.tacc.utexas.edu,1
c412-022.stampede2.tacc.utexas.edu,1
c412-033.stampede2.tacc.utexas.edu,2
c412-034.stampede2.tacc.utexas.edu,1
c412-042.stampede2.tacc.utexas.edu,1
c412-061.stampede2.tacc.utexas.edu,1
c412-062.stampede2.tacc.utexas.edu,2
c412-072.stampede2.tacc.utexas.edu,1
c412-074.stampede2.tacc.utexas.edu,1
c412-081.stampede2.tacc.utexas.edu,1
c412-093.stampede2.tacc.utexas.edu,1
c412-103.stampede2.tacc.utexas.edu,1
c412-111.stampede2.tacc.utexas.edu,1
c412-122.stampede2.tacc.utexas.edu,2
